inad_rd_pf_cr_rur_tot,inad_rd_pj_cr_rur_tot,ipca,spread_pf,spread_pj,spread_tot,selic,cdi,dolar_ptax,rendimento_medio_mensal_reais,tx_informalidade_p14m_ocupadas_pct,pessoas_14mais_mil,p14m_forca_trabalho_mil,p14m_ocupadas_mil,p14m_desocupadas_mil,p14m_fora_forca_trabalho_mil,tx_foca_trabalho_p14m_pct,tx_desocupacao_p14m_pct,insolacao_total_h,precipitacao_total_mm,temp_max_media_c,temp_min_media_c,umidade_media_pct,vento_vel_max_ms,vento_vel_media_ms,flag_pandemia,flag_greve_caminhoneiros,flag_eleicao_presidencial,flag_joesley_day,flag_impeachment,selic_lag_3,selic_lag_6,selic_lag_12,ipca_lag_3,ipca_lag_6,ipca_lag_12,tx_desocupacao_p14m_pct_lag_3,tx_desocupacao_p14m_pct_lag_6,tx_desocupacao_p14m_pct_lag_12,rendimento_medio_mensal_reais_lag_3,rendimento_medio_mensal_reais_lag_6,rendimento_medio_mensal_reais_lag_12,dolar_ptax_lag_3,dolar_ptax_lag_6,dolar_ptax_lag_12,target_lag_1,presidente_Dilma,presidente_Lula,presidente_Temer
3.31,0.85,0.98,27.32,11.22,20.58,0.0305697142857142,0.0305327142857142,3.191228571428572,2014.0,40.3,163716.0,103345.0,91066.0,12279.0,60371.0,63.1,11.9,227.0,70.84,32.52,20.51,65.11,5.29,2.14,0.0,0.0,0.0,0.0,0.0,0.0378527142857142,0.0435374444444444,0.0521826,1.28,-0.6,0.54,12.5,13.1,12.1,2014.0,2014.0,1941.0,3.206138095238096,3.136172222222222,3.185845,3.87,False,False,True
3.21,0.84,1.32,26.65,10.77,20.05,0.028333,0.0282959999999999,3.25938,2014.0,40.3,163716.0,103345.0,91066.0,12279.0,60371.0,63.1,11.9,197.78,123.83,31.35,20.66,72.08,4.8,1.94,0.0,0.0,0.0,0.0,0.0,0.034749,0.041957,0.05166,1.73,1.56,0.22,12.5,13.1,12.1,2014.0,2014.0,1941.0,3.150917391304348,3.209509090909091,3.34203,3.87,False,False,True
2.88,0.82,0.21,25.13,9.78,18.75,0.0268514,0.0268144,3.2919150000000004,2014.0,40.3,163716.0,103345.0,91066.0,12279.0,60371.0,63.1,11.9,178.78,162.04,31.55,21.38,74.97,4.52,1.76,0.0,0.0,0.0,0.0,0.0,0.0318266,0.03837,0.0507879999999999,0.24,-0.83,-0.01,12.5,13.1,12.1,2014.0,2014.0,1941.0,3.13479,3.2953666666666663,3.352268181818182,3.77,False,False,True
3.1,0.87,0.2,25.63,10.88,19.44,0.026481,0.026444,3.2106090909090907,2141.0,40.2,164099.0,103362.0,89691.0,13671.0,60736.0,63.0,13.2,192.35,165.55,31.62,21.21,75.4,4.36,1.66,0.0,0.0,0.0,0.0,0.0,0.0305697142857142,0.0378527142857142,0.049115,0.98,1.28,0.8,11.9,12.5,13.9,2014.0,2014.0,2014.0,3.191228571428572,3.206138095238096,3.196609090909091,3.53,False,False,True
3.17,0.8,0.55,26.63,10.9,20.08,0.0258100555555555,0.0257730555555555,3.2415000000000003,2141.0,40.2,164099.0,103362.0,89691.0,13671.0,60736.0,63.0,13.2,155.03,222.61,30.46,20.89,79.35,4.13,1.48,0.0,0.0,0.0,0.0,0.0,0.028333,0.034749,0.047865,1.32,1.73,0.58,11.9,12.5,13.9,2014.0,2014.0,2014.0,3.25938,3.150917391304348,3.1041944444444445,3.72,False,False,True
3.22,0.72,0.23,26.58,9.88,19.63,0.0252857142857142,0.0252487142857142,3.2792142857142856,2141.0,40.2,164099.0,103362.0,89691.0,13671.0,60736.0,63.0,13.2,191.0,179.91,31.25,21.33,78.82,4.06,1.46,0.0,0.0,0.0,0.0,0.0,0.0268514,0.0318266,0.045513,0.21,0.24,0.48,11.9,12.5,13.9,2014.0,2014.0,2014.0,3.2919150000000004,3.13479,3.127930434782609,3.7,False,False,True
3.04,0.69,0.6,26.55,9.31,19.39,0.02462,0.024583,3.407495238095238,2141.0,40.3,164466.0,103160.0,90212.0,12948.0,61306.0,62.7,12.6,172.47,163.83,29.88,20.1,79.74,4.04,1.44,0.0,0.0,0.0,0.0,0.0,0.026481,0.0305697142857142,0.0435374444444444,0.2,0.98,-0.6,13.2,11.9,13.1,2141.0,2014.0,2014.0,3.2106090909090907,3.191228571428572,3.136172222222222,3.64,False,False,True
2.9,0.67,1.37,24.72,8.93,18.18,0.02462,0.024583,3.636057142857143,2141.0,40.3,164466.0,103160.0,90212.0,12948.0,61306.0,62.7,12.6,200.61,86.71,29.2,18.49,76.06,4.24,1.55,0.0,1.0,0.0,0.0,0.0,0.0258100555555555,0.028333,0.041957,0.55,1.32,1.56,13.2,11.9,13.1,2141.0,2014.0,2014.0,3.2415000000000003,3.25938,3.209509090909091,3.62,False,False,True
2.66,0.67,2.49,23.75,8.19,17.31,0.02462,0.024583,3.773171428571428,2141.0,40.3,164466.0,103160.0,90212.0,12948.0,61306.0,62.7,12.6,204.1,52.41,28.71,17.47,73.95,4.27,1.58,0.0,0.0,0.0,0.0,0.0,0.0252857142857142,0.0268514,0.03837,0.23,0.21,-0.83,13.2,11.9,13.1,2141.0,2014.0,2014.0,3.2792142857142856,3.2919150000000004,3.2953666666666663,3.59,False,False,True
2.67,0.69,0.89,23.48,8.67,17.35,0.02462,0.024583,3.828763636363637,2141.0,40.7,164841.0,104102.0,91607.0,12495.0,60739.0,63.2,12.0,226.82,49.19,29.14,16.69,70.21,4.46,1.64,0.0,0.0,0.0,0.0,0.0,0.02462,0.026481,0.0378527142857142,0.6,0.2,1.28,12.6,13.2,12.5,2141.0,2141.0,2014.0,3.407495238095238,3.2106090909090907,3.206138095238096,3.47,False,False,True
2.66,0.7,0.12,23.18,8.45,17.12,0.02462,0.024583,3.9297565217391295,2141.0,40.7,164841.0,104102.0,91607.0,12495.0,60739.0,63.2,12.0,231.12,44.9,29.69,17.65,68.21,4.66,1.84,0.0,0.0,0.0,0.0,0.0,0.02462,0.0258100555555555,0.034749,1.37,0.55,1.73,12.6,13.2,12.5,2141.0,2141.0,2014.0,3.636057142857143,3.2415000000000003,3.150917391304348,3.5,False,False,True
2.69,0.68,0.96,22.95,8.45,17.03,0.02462,0.024583,4.1165473684210525,2141.0,40.7,164841.0,104102.0,91607.0,12495.0,60739.0,63.2,12.0,224.62,54.16,31.54,19.37,66.55,4.83,1.94,0.0,0.0,0.0,0.0,0.0,0.02462,0.0252857142857142,0.0318266,2.49,0.23,0.24,12.6,13.2,12.5,2141.0,2141.0,2014.0,3.773171428571428,3.2792142857142856,3.13479,3.49,False,False,True
2.73,0.76,0.54,23.63,9.0,17.71,0.02462,0.02462,3.758409090909091,2141.0,40.8,165213.0,104367.0,92152.0,12215.0,60845.0,63.2,11.7,211.58,95.29,31.89,20.85,70.23,4.62,1.85,0.0,0.0,1.0,0.0,0.0,0.02462,0.02462,0.0305697142857142,0.89,0.6,0.98,12.0,12.6,11.9,2141.0,2141.0,2014.0,3.828763636363637,3.407495238095238,3.191228571428572,3.41,False,False,True
2.6,0.75,-1.0,23.89,8.97,17.91,0.02462,0.02462,3.786665,2141.0,40.8,165213.0,104367.0,92152.0,12215.0,60845.0,63.2,11.7,186.06,155.38,31.16,21.02,74.09,4.67,1.88,0.0,0.0,0.0,0.0,0.0,0.02462,0.02462,0.028333,0.12,1.37,1.32,12.0,12.6,11.9,2141.0,2141.0,2014.0,3.9297565217391295,3.636057142857143,3.25938,3.37,False,False,True
2.48,0.72,-0.89,22.66,8.03,16.73,0.02462,0.02462,3.885055,2141.0,40.8,165213.0,104367.0,92152.0,12215.0,60845.0,63.2,11.7,194.01,174.4,31.33,20.85,75.86,4.36,1.62,0.0,0.0,0.0,0.0,0.0,0.02462,0.02462,0.0268514,0.96,2.49,0.21,12.0,12.6,11.9,2141.0,2141.0,2014.0,4.1165473684210525,3.773171428571428,3.2919150000000004,3.3,False,False,True
2.59,0.76,0.05,24.18,9.55,18.29,0.02462,0.02462,3.7416818181818186,2220.0,40.5,165581.0,104641.0,91203.0,13439.0,60939.0,63.2,12.8,212.22,134.91,32.47,21.41,74.5,4.46,1.6,0.0,0.0,0.0,0.0,0.0,0.02462,0.02462,0.026481,0.54,0.89,0.2,11.7,12.0,13.2,2141.0,2141.0,2141.0,3.758409090909091,3.828763636363637,3.2106090909090907,3.25,False,False,False
